chain_name,seed_id,message_id,transcription_survey_name,text,n,is_english
zipper,47,47,hand picked 1 seeds,zzzip,1,0
zipper,47,53,first-gen-partial-1,zoop,2,0
zipper,47,53,first-gen-partial-1,achoo,1,1
zipper,47,53,first-gen-partial-1,choo,1,0
zipper,47,53,first-gen-partial-1,dright,1,0
zipper,47,53,first-gen-partial-1,heerouf,1,0
zipper,47,53,first-gen-partial-1,jheep,1,0
zipper,47,53,first-gen-partial-1,jump up,1,1
zipper,47,53,first-gen-partial-1,jzoomp,1,0
zipper,47,53,first-gen-partial-1,pazhip,1,0
zipper,47,53,first-gen-partial-1,phwew,1,0
zipper,47,53,first-gen-partial-1,roofh,1,0
zipper,47,53,first-gen-partial-1,swed,1,0
zipper,47,53,first-gen-partial-1,szoop,1,0
zipper,47,53,first-gen-partial-1,trju,1,0
zipper,47,53,first-gen-partial-1,vrrrooomp,1,0
zipper,47,53,first-gen-partial-1,wchoot,1,0
zipper,47,53,first-gen-partial-1,yipe,1,1
zipper,47,53,first-gen-partial-1,yyymmmppt,1,0
zipper,47,53,first-gen-partial-1,zchoo,1,0
zipper,47,53,first-gen-partial-1,zeshue,1,0
zipper,47,53,first-gen-partial-1,zhoo,1,0
zipper,47,53,first-gen-partial-1,zhoohp,1,0
zipper,47,53,first-gen-partial-1,zhoomp,1,0
zipper,47,53,first-gen-partial-1,zoom,1,1
zipper,47,53,first-gen-partial-1,zushoomt,1,0
zipper,47,113,first-gen-partial-1,zoop,12,0
zipper,47,113,first-gen-partial-1,schoop,1,0
zipper,47,113,first-gen-partial-1,soop,1,0
zipper,47,113,first-gen-partial-1,sssoup,1,0
zipper,47,113,first-gen-partial-1,sssxoup,1,0
zipper,47,113,first-gen-partial-1,szoop,1,0
zipper,47,113,first-gen-partial-1,tzooup,1,0
zipper,47,113,first-gen-partial-1,zeeep,1,0
zipper,47,113,first-gen-partial-1,zeeiipp,1,0
zipper,47,113,first-gen-partial-1,zip,1,1
zipper,47,113,first-gen-partial-1,zook,1,0
zipper,47,113,first-gen-partial-1,zoup,1,0
zipper,47,113,first-gen-partial-1,zup,1,0
zipper,47,113,first-gen-partial-1,zuppphh,1,0
zipper,47,113,first-gen-partial-1,zuwup,1,0
zipper,47,117,first-gen-partial-1,writ,2,1
zipper,47,117,first-gen-partial-1,irii,1,0
zipper,47,117,first-gen-partial-1,mooeep,1,0
zipper,47,117,first-gen-partial-1,puherreh,1,0
zipper,47,117,first-gen-partial-1,reep,1,0
zipper,47,117,first-gen-partial-1,reip,1,0
zipper,47,117,first-gen-partial-1,reit,1,0
zipper,47,117,first-gen-partial-1,rete,1,0
zipper,47,117,first-gen-partial-1,rick,1,1
zipper,47,117,first-gen-partial-1,rip,1,1
zipper,47,117,first-gen-partial-1,rit,1,0
zipper,47,117,first-gen-partial-1,rrit,1,0
zipper,47,117,first-gen-partial-1,rritt,1,0
zipper,47,117,first-gen-partial-1,rui!t!,1,0
zipper,47,117,first-gen-partial-1,ruip,1,0
zipper,47,117,first-gen-partial-1,veeep,1,0
zipper,47,117,first-gen-partial-1,verick,1,0
zipper,47,117,first-gen-partial-1,vrip,1,0
zipper,47,117,first-gen-partial-1,vrit,1,0
zipper,47,117,first-gen-partial-1,vrri,1,0
zipper,47,117,first-gen-partial-1,wrip,1,0
zipper,47,139,first-gen-partial-1,greero,1,0
zipper,47,139,first-gen-partial-1,mariurh,1,0
zipper,47,139,first-gen-partial-1,mreuw,1,0
zipper,47,139,first-gen-partial-1,raer,1,0
zipper,47,139,first-gen-partial-1,rair,1,0
zipper,47,139,first-gen-partial-1,rear,1,1
zipper,47,139,first-gen-partial-1,rearrr,1,0
zipper,47,139,first-gen-partial-1,rearww,1,0
zipper,47,139,first-gen-partial-1,reauw,1,0
zipper,47,139,first-gen-partial-1,reaw,1,0
zipper,47,139,first-gen-partial-1,reeer,1,0
zipper,47,139,first-gen-partial-1,reerwww?,1,0
zipper,47,139,first-gen-partial-1,rewr,1,0
zipper,47,139,first-gen-partial-1,riueh,1,0
zipper,47,139,first-gen-partial-1,rooring,1,0
zipper,47,139,first-gen-partial-1,rowa,1,0
zipper,47,139,first-gen-partial-1,verreerh,1,0
zipper,47,139,first-gen-partial-1,vrear,1,0
zipper,47,139,first-gen-partial-1,vruew,1,0
zipper,47,139,first-gen-partial-1,wrerrr,1,0
zipper,47,139,first-gen-partial-1,wrou,1,0
zipper,47,139,first-gen-partial-1,wuhmayoo,1,0
zipper,47,377,hand picked 1,veep,6,1
zipper,47,377,hand picked 1,beep,2,1
zipper,47,377,hand picked 1,veeb,2,0
